Kode Sub Kanca;Sub Kanca;SEGMENT;Kode Kanca;Kanca;Kanwil;Kode Kanwil
991;UNIT DIPATI UKUR BANDUNG N;MIKRO;337;KC Bandung Naripan;Bandung ;F
991;UNIT DIPATI UKUR BANDUNG N;MIKRO;337;KC Bandung Naripan;Bandung ;F
4274;UNIT DEWISARTIKA KUNINGAN ;MIKRO;133;KC Kuningan ;Bandung ;F
4274;UNIT DEWISARTIKA KUNINGAN ;MIKRO;133;KC Kuningan ;Bandung ;F
7431;UNIT DERWATI BANDUNG A H NASU ;MIKRO;354;KC Bandung A.H. Nasution;Bandung ;F
7431;UNIT DERWATI BANDUNG A H NASU ;MIKRO;354;KC Bandung A.H. Nasution;Bandung ;F
7431;UNIT DERWATI BANDUNG A H NASU ;MIKRO;354;KC Bandung A.H. Nasution;Bandung ;F
895;UNIT DAYEUHKOLOT MAJALAYA ;MIKRO;132;KC Majalaya ;Bandung ;F
895;UNIT DAYEUHKOLOT MAJALAYA ;MIKRO;132;KC Majalaya ;Bandung ;F
895;UNIT DAYEUHKOLOT MAJALAYA ;MIKRO;132;KC Majalaya ;Bandung ;F
4385;UNIT DAWUAN SUBANG;MIKRO;123;KC Subang ;Bandung ;F
4385;UNIT DAWUAN SUBANG;MIKRO;123;KC Subang ;Bandung ;F
4385;UNIT DAWUAN SUBANG;MIKRO;123;KC Subang ;Bandung ;F
4299;UNIT DAWUAN MAJALENGKA;MIKRO;46;KC Majalengka ;Bandung ;F
4299;UNIT DAWUAN MAJALENGKA;MIKRO;46;KC Majalengka ;Bandung ;F
4432;UNIT DARMARAJA SUMEDANG ;MIKRO;94;KC Sumedang ;Bandung ;F
4432;UNIT DARMARAJA SUMEDANG ;MIKRO;94;KC Sumedang ;Bandung ;F
4432;UNIT DARMARAJA SUMEDANG ;MIKRO;94;KC Sumedang ;Bandung ;F
4273;UNIT DARMA KUNINGAN ;MIKRO;133;KC Kuningan ;Bandung ;F
4273;UNIT DARMA KUNINGAN ;MIKRO;133;KC Kuningan ;Bandung ;F
4352;UNIT DARANGDAN PURWAKARTA ;MIKRO;75;KC Purwakarta ;Bandung ;F
4352;UNIT DARANGDAN PURWAKARTA ;MIKRO;75;KC Purwakarta ;Bandung ;F
4352;UNIT DARANGDAN PURWAKARTA ;MIKRO;75;KC Purwakarta ;Bandung ;F
4352;UNIT DARANGDAN PURWAKARTA ;MIKRO;75;KC Purwakarta ;Bandung ;F
4384;UNIT DANGDEUR SUBANG;MIKRO;123;KC Subang ;Bandung ;F
4384;UNIT DANGDEUR SUBANG;MIKRO;123;KC Subang ;Bandung ;F
3771;UNIT DANGDEUR RANCAEKEK MAJALA;MIKRO;132;KC Majalaya ;Bandung ;F
